"Degree","Country","Year","Undergraduate enrollment","Undergraduate enrollment total","Undergraduate enrollment (%)","Undergraduate enrollment(-1)","Undergraduate enrollment total(-1)","Field Change rate","Proportional Change"
"Information and communication technologies","Poland",2015,19299,182572,10.570624192099555,19876,194272,-2.902998591265848,-0.306865071384657
"Information and communication technologies","Poland",2016,20133,179104,11.240954975879935,19299,182572,4.32146743354578,0.48577420850219527
"Information and communication technologies","Poland",2017,22111,177793,12.436372635593077,20133,179104,9.824665971290916,1.2218320703920482
"Information and communication technologies","Poland",2018,24553,167761,14.635701980794106,22111,177793,11.044276604405047,1.6164074097552894
"Information and communication technologies","Poland",2019,23611,168392,14.021449950116395,24553,167761,-3.836598379016821,-0.5379467215008206
"Information and communication technologies","Poland",2020,17929,396197,4.525274042963475,23611,168392,-24.065054423785522,-1.0890096612645996
"Information and communication technologies","Poland",2021,9467,209232,4.524642502102929,17929,396197,-47.19727815271348,-2.1355081071334143
"Information and communication technologies","Poland",2022,10346,212284,4.873659814211151,9467,209232,9.284884335058624,0.4525136766337384
"Information and communication technologies","Portugal",2014,896,52622,1.7027098932005624,10346,212284,-91.33964817320704,-1.5552492258597832
"Information and communication technologies","Portugal",2015,901,37246,2.4190517102507654,896,52622,0.5580357142857143,0.013499172490238647
"Information and communication technologies","Portugal",2016,1076,41629,2.584736601888107,901,37246,19.42286348501665,0.5020298616319853
"Information and communication technologies","Portugal",2017,1053,40015,2.6315131825565414,1076,41629,-2.137546468401487,-0.05624981709925692
"Information and communication technologies","Portugal",2018,1353,38616,3.5037290242386576,1053,40015,28.49002849002849,0.9982133972189907
"Information and communication technologies","Portugal",2019,1260,37490,3.360896238997066,1353,38616,-6.873614190687362,-0.23101504081798016
"Information and communication technologies","Portugal",2020,1423,37287,3.8163434977337944,1260,37490,12.936507936507939,0.49370157946873694
"Information and communication technologies","Portugal",2021,1684,36717,4.586431353324073,1423,37287,18.341531974701336,0.8412217731676621
"Information and communication technologies","Portugal",2022,1681,36303,4.630471310910944,1684,36717,-0.17814726840855108,-0.008249058154829474
"Information and communication technologies","Romania",2013,2407,114890,2.0950474366785623,1681,36303,43.188578227245685,0.9048212010878263
"Information and communication technologies","Romania",2014,3478,116501,2.985382099724466,2407,114890,44.495222268383884,1.3283524008329468
"Information and communication technologies","Romania",2015,8134,116708,6.969530794804126,3478,116501,133.870040253019,9.33011368045084
"Information and communication technologies","Romania",2016,8940,111707,8.003079484723429,8134,116708,9.909023850504058,0.7930270549160418
"Information and communication technologies","Romania",2017,8814,105847,8.327113664062278,8940,111707,-1.4093959731543624,-0.11736200466128044
"Information and communication technologies","Romania",2018,9105,101431,8.976545632005994,8814,105847,3.3015656909462217,0.2963665508184416
"Information and communication technologies","Romania",2019,8928,102894,8.676890780803545,9105,101431,-1.943986820428336,-0.16867761320178223
"Information and communication technologies","Romania",2020,9227,107378,8.59300787870886,8928,102894,3.3490143369175627,0.28778106583041546
"Information and communication technologies","Romania",2021,9071,109915,8.25274075421917,9227,107378,-1.6906903652324698,-0.13952829279919696
"Information and communication technologies","Romania",2022,8617,83226,10.35373561146757,9071,109915,-5.004960864292801,-0.5182004153462988
"Information and communication technologies","Sweden",2013,2963,55957,5.295137337598513,8617,83226,-65.61448299872346,-3.4743769881376347
"Information and communication technologies","Sweden",2014,2899,49489,5.857867404877852,2963,55957,-2.1599730003374957,-0.12652835434093232
"Information and communication technologies","Sweden",2015,2836,44456,6.379341371243477,2899,49489,-2.1731631597102448,-0.1386334965120176
"Information and communication technologies","Sweden",2016,2517,36728,6.8530821171857985,2836,44456,-11.248236953455573,-0.7708509151559484
"Information and communication technologies","Sweden",2017,2490,37877,6.57391028856562,2517,36728,-1.0727056019070322,-0.07051870392978617
"Information and communication technologies","Sweden",2018,2498,39824,6.272599437525111,2490,37877,0.321285140562249,0.02015292991975939
"Information and communication technologies","Sweden",2019,2408,45785,5.259364420661789,2498,39824,-3.6028823058446755,-0.18948871011191393
"Information and communication technologies","Sweden",2020,2549,48663,5.238065881676016,2408,45785,5.855481727574751,0.3067139905798664
"Information and communication technologies","Sweden",2021,2604,44670,5.829415715245131,2549,48663,2.157708905453119,0.1257818220237278
"Information and communication technologies","Sweden",2022,2443,44407,5.501384916792397,2604,44670,-6.182795698924731,-0.34013939001673427
"Information and communication technologies","Slovenia",2013,814,17801,4.572776810291557,2443,44407,-66.68031109291854,-3.0491418026872474
"Information and communication technologies","Slovenia",2014,781,20118,3.8820956357490806,814,17801,-4.054054054054054,-0.15738225550334112
"Information and communication technologies","Slovenia",2015,741,20475,3.619047619047619,781,20118,-5.121638924455826,-0.18535455155173464
"Information and communication technologies","Slovenia",2016,803,23616,3.4002371273712737,741,20475,8.367071524966262,0.28450027246561266
"Information and communication technologies","Slovenia",2017,839,21378,3.9245953784264196,803,23616,4.483188044831881,0.17594699081363774
"Information and communication technologies","Slovenia",2018,821,20961,3.9167978626973903,839,21378,-2.1454112038140645,-0.08403142017705963
"Information and communication technologies","Slovenia",2019,904,19280,4.6887966804979255,821,20961,10.109622411693058,0.4740196400503384
"Information and communication technologies","Slovenia",2020,930,19321,4.81341545468661,904,19280,2.8761061946902653,0.1384389400684202
"Information and communication technologies","Slovenia",2021,996,18440,5.401301518438178,930,19321,7.096774193548387,0.38331817227625775
"Information and communication technologies","Slovenia",2022,1139,19650,5.796437659033079,996,18440,14.357429718875503,0.8322194630941068
"Information and communication technologies","Slovakia",2013,2355,39112,6.0211699734096955,1139,19650,106.76031606672521,6.428220094526945
"Information and communication technologies","Slovakia",2014,2301,37876,6.075087126412504,2355,39112,-2.2929936305732483,-0.1393013608604141
"Information and communication technologies","Slovakia",2015,1940,37354,5.193553568560262,2301,37876,-15.68883094306823,-0.8148078393091065
"Information and communication technologies","Slovakia",2016,1965,36443,5.391981999286557,1940,37354,1.2886597938144329,0.06948430411451748
"Information and communication technologies","Slovakia",2017,1942,34643,5.605750079381116,1965,36443,-1.1704834605597965,-0.06561437751947362
"Information and communication technologies","Slovakia",2018,1865,33442,5.576819568207643,1942,34643,-3.964984552008239,-0.2211200343728056
"Information and communication technologies","Slovakia",2019,2139,33164,6.449764805210469,1865,33442,14.691689008042896,0.9475793869317257
"Information and communication technologies","Slovakia",2020,2409,33704,7.1475195822454305,2139,33164,12.622720897615707,0.9022114479692689
"Information and communication technologies","Slovakia",2021,2586,34401,7.517223336530915,2409,33704,7.347447073474471,0.5523240060464807
"Information and communication technologies","Slovakia",2022,2497,34417,7.255135543481419,2586,34401,-3.4416086620262956,-0.24969337330620509
"Information and communication technologies","United Kingdom",2014,25266,1128555,2.238792083682231,2497,34417,911.8542250700841,20.414520205590996
"Information and communication technologies","United Kingdom",2015,28997,1279278,2.2666691680776188,25266,1128555,14.766880392622497,0.33471632494647335
"Information and communication technologies","United Kingdom",2016,26721,1321074,2.0226724619514123,28997,1279278,-7.849087836672759,-0.15876133818675775
"Information and communication technologies","United Kingdom",2017,28064,1287174,2.180280210756277,26721,1321074,5.026009505632274,0.10958109064202987
"Information and communication technologies","United Kingdom",2018,29646,1082428,2.7388426759100835,28064,1287174,5.637115165336374,0.15439171583843186
"Information and communication technologies","United Kingdom",2019,31744,1042663,3.0445119851764186,29646,1082428,7.076840045874653,0.21545524336841815
