year,area,concept,escs,metric,value
2000,IRL,escs,quart_4,freq_se,1.28292618173736
2000,ITA,escs,quart_1,freq,29.6050045290009
2000,ITA,escs,quart_1,freq_se,0.920595254587204
2000,ITA,escs,quart_2,freq,24.6289327110415
2000,ITA,escs,quart_2,freq_se,0.675020569242501
2000,ITA,escs,quart_3,freq,25.7094100688261
2000,ITA,escs,quart_3,freq_se,0.724527014661408
2000,ITA,escs,quart_4,freq,20.0566526911315
2000,ITA,escs,quart_4,freq_se,0.862235267589917
2000,LUX,escs,quart_1,freq,30.0395483247045
2000,LUX,escs,quart_1,freq_se,0.659069032441964
2000,LUX,escs,quart_2,freq,20.8619338793072
2000,LUX,escs,quart_2,freq_se,0.742106343911165
2000,LUX,escs,quart_3,freq,23.2306454669615
2000,LUX,escs,quart_3,freq_se,0.638020066168754
2000,LUX,escs,quart_4,freq,25.8678723290269
2000,LUX,escs,quart_4,freq_se,0.666209126524655
2000,LVA,escs,quart_1,freq,36.3175638225731
2000,LVA,escs,quart_1,freq_se,1.36210454460504
2000,LVA,escs,quart_2,freq,28.5894886952556
2000,LVA,escs,quart_2,freq_se,0.980365200262615
2000,LVA,escs,quart_3,freq,29.8730591881602
2000,LVA,escs,quart_3,freq_se,1.45987174834628
2000,LVA,escs,quart_4,freq,5.21988829401113
2000,LVA,escs,quart_4,freq_se,0.473532858655902
2000,NLD,escs,quart_1,freq,18.8423447389946
2000,NLD,escs,quart_1,freq_se,1.19756827535106
2000,NLD,escs,quart_2,freq,24.6859298225952
2000,NLD,escs,quart_2,freq_se,1.11901397391968
2000,NLD,escs,quart_3,freq,27.5112977108555
2000,NLD,escs,quart_3,freq_se,0.982592608472965
2000,NLD,escs,quart_4,freq,28.9604277275547
2000,NLD,escs,quart_4,freq_se,1.2087238740591
2000,POL,escs,quart_1,freq,41.2544426180015
2000,POL,escs,quart_1,freq_se,1.5151586612682
2000,POL,escs,quart_2,freq,26.5237307239695
2000,POL,escs,quart_2,freq_se,0.936610723107382
2000,POL,escs,quart_3,freq,18.0744028578416
2000,POL,escs,quart_3,freq_se,0.986340214935249
2000,POL,escs,quart_4,freq,14.1474238001873
2000,POL,escs,quart_4,freq_se,0.902811723500958
2000,PRT,escs,quart_1,freq,53.2017982022916
2000,PRT,escs,quart_1,freq_se,1.62991674179733
2000,PRT,escs,quart_2,freq,18.6219402396069
2000,PRT,escs,quart_2,freq_se,0.708011986695526
2000,PRT,escs,quart_3,freq,11.861021322515
2000,PRT,escs,quart_3,freq_se,0.582556652130103
2000,PRT,escs,quart_4,freq,16.3152402355865
2000,PRT,escs,quart_4,freq_se,1.32694789126617
2000,SWE,escs,quart_1,freq,8.70020974967998
2000,SWE,escs,quart_1,freq_se,0.432552891221672
2000,SWE,escs,quart_2,freq,19.9461169117003
2000,SWE,escs,quart_2,freq_se,0.745129519982501
2000,SWE,escs,quart_3,freq,29.6560064278957
2000,SWE,escs,quart_3,freq_se,0.797114449096317
2000,SWE,escs,quart_4,freq,41.697666910724
2000,SWE,escs,quart_4,freq_se,1.17729840600361
2000,EU28,escs,quart_1,freq,25.000206941556
2000,EU28,escs,quart_1,freq_se,0.358339916076269
2000,EU28,escs,quart_2,freq,25.0025899356889
2000,EU28,escs,quart_2,freq_se,0.278977268935968
2000,EU28,escs,quart_3,freq,25.0037045838188
2000,EU28,escs,quart_3,freq_se,0.240340968241317
2000,EU28,escs,quart_4,freq,24.9934985389364
2000,EU28,escs,quart_4,freq_se,0.314484249475387
2003,AUT,escs,quart_1,freq,18.6365841027081
2003,AUT,escs,quart_1,freq_se,0.993232281276213
2003,AUT,escs,quart_2,freq,28.6418896434438
2003,AUT,escs,quart_2,freq_se,0.878270305781014
2003,AUT,escs,quart_3,freq,29.2547509092932
2003,AUT,escs,quart_3,freq_se,0.808458352438994
2003,AUT,escs,quart_4,freq,23.4667753445549
2003,AUT,escs,quart_4,freq_se,1.10730787347392
2003,BEL,escs,quart_1,freq,18.0035173708085
2003,BEL,escs,quart_1,freq_se,0.772033123501446
2003,BEL,escs,quart_2,freq,22.338232853045
2003,BEL,escs,quart_2,freq_se,0.672667549263642
2003,BEL,escs,quart_3,freq,25.5539677737715
2003,BEL,escs,quart_3,freq_se,0.648775730070378
2003,BEL,escs,quart_4,freq,34.1042820023751
2003,BEL,escs,quart_4,freq_se,1.02555870713378
2003,CZE,escs,quart_1,freq,16.112091505373
2003,CZE,escs,quart_1,freq_se,0.712318140461517
2003,CZE,escs,quart_2,freq,25.1942465453796
2003,CZE,escs,quart_2,freq_se,0.81329554764858
2003,CZE,escs,quart_3,freq,31.8854878977904
2003,CZE,escs,quart_3,freq_se,0.788168059110715
2003,CZE,escs,quart_4,freq,26.8081740514571
2003,CZE,escs,quart_4,freq_se,1.06115228574847
2003,DEU,escs,quart_1,freq,16.5979743585197
2003,DEU,escs,quart_1,freq_se,0.762201487124213
2003,DEU,escs,quart_2,freq,23.0957680546474
2003,DEU,escs,quart_2,freq_se,0.788690569913495
2003,DEU,escs,quart_3,freq,28.3009540242193
2003,DEU,escs,quart_3,freq_se,0.81708648243905
2003,DEU,escs,quart_4,freq,32.0053035626136
2003,DEU,escs,quart_4,freq_se,1.04542302208752
