year,area,concept,books,metric,value
2000,GRC,books,201_500,freq_se,0.66851050255394
2000,GRC,books,26_100,freq,26.8605478962714
2000,GRC,books,26_100,freq_se,0.711814001744401
2000,GRC,books,more_500,freq,7.92937572904922
2000,GRC,books,more_500,freq_se,0.703491589159636
2000,HUN,books,0_10,freq,4.55345342678777
2000,HUN,books,0_10,freq_se,0.491488220252298
2000,HUN,books,101_200,freq,21.9956253792455
2000,HUN,books,101_200,freq_se,0.814371228726383
2000,HUN,books,11_25,freq,13.6641043359154
2000,HUN,books,11_25,freq_se,0.723975501455965
2000,HUN,books,201_500,freq,20.6188076046521
2000,HUN,books,201_500,freq_se,0.774501233521386
2000,HUN,books,26_100,freq,19.4354543941144
2000,HUN,books,26_100,freq_se,0.682762902595857
2000,HUN,books,more_500,freq,19.7325548592849
2000,HUN,books,more_500,freq_se,1.02718839286306
2000,IRL,books,0_10,freq,9.65951338323965
2000,IRL,books,0_10,freq_se,0.667040897129844
2000,IRL,books,101_200,freq,22.5364571533388
2000,IRL,books,101_200,freq_se,0.698212088941079
2000,IRL,books,11_25,freq,22.0322519231905
2000,IRL,books,11_25,freq_se,0.840836427340651
2000,IRL,books,201_500,freq,14.4415081263606
2000,IRL,books,201_500,freq_se,0.773275474941814
2000,IRL,books,26_100,freq,21.3421319118856
2000,IRL,books,26_100,freq_se,0.709828114811246
2000,IRL,books,more_500,freq,9.98813750198481
2000,IRL,books,more_500,freq_se,0.651570055893964
2000,ITA,books,0_10,freq,9.18827283047677
2000,ITA,books,0_10,freq_se,0.736757303079262
2000,ITA,books,101_200,freq,20.9587615801368
2000,ITA,books,101_200,freq_se,0.752088481299681
2000,ITA,books,11_25,freq,20.8097478508492
2000,ITA,books,11_25,freq_se,0.640231109095193
2000,ITA,books,201_500,freq,14.7828424590496
2000,ITA,books,201_500,freq_se,0.609314125363276
2000,ITA,books,26_100,freq,22.9864024453223
2000,ITA,books,26_100,freq_se,0.67203955973457
2000,ITA,books,more_500,freq,11.2739728341654
2000,ITA,books,more_500,freq_se,0.586148624227741
2000,LUX,books,0_10,freq,11.3722748491322
2000,LUX,books,0_10,freq_se,0.532482899472384
2000,LUX,books,101_200,freq,19.4883186568662
2000,LUX,books,101_200,freq_se,0.740192799613804
2000,LUX,books,11_25,freq,20.2803339264078
2000,LUX,books,11_25,freq_se,0.688453260144511
2000,LUX,books,201_500,freq,14.5978098748528
2000,LUX,books,201_500,freq_se,0.682301219473272
2000,LUX,books,26_100,freq,19.8981036657493
2000,LUX,books,26_100,freq_se,0.753426865849626
2000,LUX,books,more_500,freq,14.3631590269918
2000,LUX,books,more_500,freq_se,0.589239838443398
2000,LVA,books,0_10,freq,3.87992505304278
2000,LVA,books,0_10,freq_se,0.437283478354303
2000,LVA,books,101_200,freq,27.5295744462434
2000,LVA,books,101_200,freq_se,0.714444769735234
2000,LVA,books,11_25,freq,10.0237137272578
2000,LVA,books,11_25,freq_se,0.728220963259687
2000,LVA,books,201_500,freq,19.9964498365965
2000,LVA,books,201_500,freq_se,0.819012106558142
2000,LVA,books,26_100,freq,18.9227009524025
2000,LVA,books,26_100,freq_se,0.998373952559982
2000,LVA,books,more_500,freq,19.6476359844571
2000,LVA,books,more_500,freq_se,0.93734864424312
2000,NLD,books,0_10,freq,15.5327218918805
2000,NLD,books,0_10,freq_se,0.978350432273867
2000,NLD,books,101_200,freq,18.5956468641955
2000,NLD,books,101_200,freq_se,0.762673449483554
2000,NLD,books,11_25,freq,24.1570756441516
2000,NLD,books,11_25,freq_se,1.08830358826904
2000,NLD,books,201_500,freq,13.7527317419703
2000,NLD,books,201_500,freq_se,1.00237778833669
2000,NLD,books,26_100,freq,17.992387098977
2000,NLD,books,26_100,freq_se,0.901846913013521
2000,NLD,books,more_500,freq,9.96943675882504
2000,NLD,books,more_500,freq_se,0.912533380392074
2000,POL,books,0_10,freq,15.2042296393256
2000,POL,books,0_10,freq_se,0.841053884839313
2000,POL,books,101_200,freq,19.8403945410167
2000,POL,books,101_200,freq_se,0.818861244514365
2000,POL,books,11_25,freq,14.9982729195628
2000,POL,books,11_25,freq_se,0.865017057727278
2000,POL,books,201_500,freq,14.2770828648032
2000,POL,books,201_500,freq_se,0.790711892485169
