year,area,concept,classics,metric,value
2000,ITA,reading_score,no,mean_se,4.75113151243882
2000,ITA,reading_score,yes,mean,501.220321339059
2000,ITA,reading_score,yes,mean_se,2.7659803274825
2000,LUX,math_score,no,mean,425.013213713949
2000,LUX,math_score,no,mean_se,6.91748066806478
2000,LUX,math_score,yes,mean,487.02366677014
2000,LUX,math_score,yes,mean_se,9.23786607358655
2000,LUX,reading_score,no,mean,415.789923206416
2000,LUX,reading_score,no,mean_se,2.42005854241712
2000,LUX,reading_score,yes,mean,486.763865515187
2000,LUX,reading_score,yes,mean_se,2.33063553681009
2000,LVA,math_score,no,mean,406.320707733813
2000,LVA,math_score,no,mean_se,91.6473772063154
2000,LVA,math_score,yes,mean,473.145088594921
2000,LVA,math_score,yes,mean_se,19.6730446783579
2000,LVA,reading_score,no,mean,398.65873420627
2000,LVA,reading_score,no,mean_se,7.04522564045786
2000,LVA,reading_score,yes,mean,470.830179653939
2000,LVA,reading_score,yes,mean_se,5.29105940278216
2000,NLD,math_score,no,mean,555.85105395662
2000,NLD,math_score,no,mean_se,17.2719401675246
2000,NLD,math_score,yes,mean,591.284725330362
2000,NLD,math_score,yes,mean_se,18.804558504562
2000,NLD,reading_score,no,mean,523.858713554795
2000,NLD,reading_score,no,mean_se,3.32155055771698
2000,NLD,reading_score,yes,mean,559.657086964962
2000,NLD,reading_score,yes,mean_se,4.65940817719291
2000,POL,math_score,no,mean,411.616531176016
2000,POL,math_score,no,mean_se,64.964601778679
2000,POL,math_score,yes,mean,486.064925203462
2000,POL,math_score,yes,mean_se,28.6277727630275
2000,POL,reading_score,no,mean,411.617526537994
2000,POL,reading_score,no,mean_se,5.33226230521565
2000,POL,reading_score,yes,mean,497.139187836931
2000,POL,reading_score,yes,mean_se,4.52104706653275
2000,PRT,math_score,no,mean,408.348487177198
2000,PRT,math_score,no,mean_se,22.9665465391874
2000,PRT,math_score,yes,mean,478.774491430514
2000,PRT,math_score,yes,mean_se,12.061798903528
2000,PRT,reading_score,no,mean,418.550908384466
2000,PRT,reading_score,no,mean_se,5.08602471134321
2000,PRT,reading_score,yes,mean,498.069298135957
