year,area,concept,lonely,metric,value
2000,ESP,math_score,disagree,mean,486.004575911471
2000,ESP,math_score,disagree,mean_se,18.3798952323333
2000,ESP,math_score,strongly_agree,mean,437.162694375669
2000,ESP,math_score,strongly_agree,mean_se,168.130199964802
2000,ESP,math_score,strongly_disagree,mean,477.877062503547
2000,ESP,math_score,strongly_disagree,mean_se,9.46209273822145
2000,ESP,reading_score,agree,mean,461.545977121763
2000,ESP,reading_score,agree,mean_se,7.07259434284464
2000,ESP,reading_score,disagree,mean,500.093621546732
2000,ESP,reading_score,disagree,mean_se,3.15742760115965
2000,ESP,reading_score,strongly_agree,mean,444.384372674363
2000,ESP,reading_score,strongly_agree,mean_se,10.2785896737303
2000,ESP,reading_score,strongly_disagree,mean,495.591790347123
2000,ESP,reading_score,strongly_disagree,mean_se,2.78597139749679
2000,FIN,math_score,agree,mean,521.912236962069
2000,FIN,math_score,agree,mean_se,74.3499103144173
2000,FIN,math_score,disagree,mean,539.918283057136
2000,FIN,math_score,disagree,mean_se,7.38789120992629
2000,FIN,math_score,strongly_agree,mean,510.143122052941
2000,FIN,math_score,strongly_agree,mean_se,267.213569988092
2000,FIN,math_score,strongly_disagree,mean,535.580647955509
2000,FIN,math_score,strongly_disagree,mean_se,8.32503828280256
2000,FIN,reading_score,agree,mean,542.876763520506
2000,FIN,reading_score,agree,mean_se,7.79326150105207
2000,FIN,reading_score,disagree,mean,552.833470685528
2000,FIN,reading_score,disagree,mean_se,2.87283234285876
2000,FIN,reading_score,strongly_agree,mean,514.819658174019
2000,FIN,reading_score,strongly_agree,mean_se,11.0094304654234
2000,FIN,reading_score,strongly_disagree,mean,544.622712585537
2000,FIN,reading_score,strongly_disagree,mean_se,3.04034982329812
2000,FRA,math_score,agree,mean,506.717190305124
2000,FRA,math_score,agree,mean_se,85.2192857934443
2000,FRA,math_score,disagree,mean,522.262316548812
2000,FRA,math_score,disagree,mean_se,9.7172401668246
2000,FRA,math_score,strongly_agree,mean,467.904512039684
2000,FRA,math_score,strongly_agree,mean_se,149.798790063331
2000,FRA,math_score,strongly_disagree,mean,521.841854892427
2000,FRA,math_score,strongly_disagree,mean_se,8.61273267497229
2000,FRA,reading_score,agree,mean,488.492868855622
2000,FRA,reading_score,agree,mean_se,7.97927554355092
2000,FRA,reading_score,disagree,mean,516.084628121252
2000,FRA,reading_score,disagree,mean_se,3.04049394024235
2000,FRA,reading_score,strongly_agree,mean,477.654930363739
2000,FRA,reading_score,strongly_agree,mean_se,10.4785800952968
2000,FRA,reading_score,strongly_disagree,mean,506.370365928164
2000,FRA,reading_score,strongly_disagree,mean_se,3.07028046352636
2000,GBR,math_score,agree,mean,535.810249829867
2000,GBR,math_score,agree,mean_se,96.6532772546893
2000,GBR,math_score,disagree,mean,537.119121951269
2000,GBR,math_score,disagree,mean_se,14.8456675019286
2000,GBR,math_score,strongly_agree,mean,485.165500855305
2000,GBR,math_score,strongly_agree,mean_se,165.700948082192
2000,GBR,math_score,strongly_disagree,mean,530.42777065397
2000,GBR,math_score,strongly_disagree,mean_se,5.96173278253034
2000,GBR,reading_score,agree,mean,532.361771714243
2000,GBR,reading_score,agree,mean_se,7.64912890078387
2000,GBR,reading_score,disagree,mean,529.000599614181
2000,GBR,reading_score,disagree,mean_se,3.66774492861181
2000,GBR,reading_score,strongly_agree,mean,487.763594332015
2000,GBR,reading_score,strongly_agree,mean_se,12.2663184407363
2000,GBR,reading_score,strongly_disagree,mean,524.58014753379
2000,GBR,reading_score,strongly_disagree,mean_se,2.37196260006912
2000,GRC,math_score,agree,mean,427.881842142074
2000,GRC,math_score,agree,mean_se,120.826905417917
2000,GRC,math_score,disagree,mean,446.374195315178
2000,GRC,math_score,disagree,mean_se,42.4673911520332
2000,GRC,math_score,strongly_agree,mean,420.064783882784
2000,GRC,math_score,strongly_agree,mean_se,407.49818492651
2000,GRC,math_score,strongly_disagree,mean,455.86058210018
2000,GRC,math_score,strongly_disagree,mean_se,38.5343770851363
2000,GRC,reading_score,agree,mean,457.751366636987
2000,GRC,reading_score,agree,mean_se,9.47375053326915
2000,GRC,reading_score,disagree,mean,475.802647082608
2000,GRC,reading_score,disagree,mean_se,5.17379809304267
2000,GRC,reading_score,strongly_agree,mean,436.65465169722
2000,GRC,reading_score,strongly_agree,mean_se,14.5019026205942
2000,GRC,reading_score,strongly_disagree,mean,481.779193158164
2000,GRC,reading_score,strongly_disagree,mean_se,4.74591770464583
2000,HUN,math_score,agree,mean,451.953765707085
2000,HUN,math_score,agree,mean_se,67.3895461036456
2000,HUN,math_score,disagree,mean,474.209105937162
