year,area,concept,escs,level,metric,value
2000,AUT,reading_score,quart_3,below_level_1a,freq,2.63042082195187
2000,AUT,reading_score,quart_3,below_level_1a,freq_se,3.43371759131305
2000,AUT,reading_score,quart_3,level_1a,freq,8.28415035865306
2000,AUT,reading_score,quart_3,level_1a,freq_se,8.49650250843742
2000,AUT,reading_score,quart_3,level_2,freq,17.3243311993696
2000,AUT,reading_score,quart_3,level_2,freq_se,11.5058063392339
2000,AUT,reading_score,quart_3,level_3,freq,26.9484100693452
2000,AUT,reading_score,quart_3,level_3,freq_se,7.38723006979374
2000,AUT,reading_score,quart_3,level_4,freq,26.0339347196016
2000,AUT,reading_score,quart_3,level_4,freq_se,11.4790297157846
2000,AUT,reading_score,quart_3,level_5,freq,14.4025920836701
2000,AUT,reading_score,quart_3,level_5,freq_se,13.141172799126
2000,AUT,reading_score,quart_3,level_6,freq,4.02940693100792
2000,AUT,reading_score,quart_3,level_6,freq_se,4.60820551186704
2000,AUT,reading_score,quart_4,below_level_1a,freq,1.6548231328797
2000,AUT,reading_score,quart_4,below_level_1a,freq_se,1.78612395173506
2000,AUT,reading_score,quart_4,level_1a,freq,5.30013217266434
2000,AUT,reading_score,quart_4,level_1a,freq_se,6.40979661887739
2000,AUT,reading_score,quart_4,level_2,freq,13.5135733568129
2000,AUT,reading_score,quart_4,level_2,freq_se,10.9034264881905
2000,AUT,reading_score,quart_4,level_3,freq,24.6331891622744
2000,AUT,reading_score,quart_4,level_3,freq_se,10.0719002972947
2000,AUT,reading_score,quart_4,level_4,freq,28.867041158026
2000,AUT,reading_score,quart_4,level_4,freq_se,9.5955692686371
2000,AUT,reading_score,quart_4,level_5,freq,18.9622976480934
2000,AUT,reading_score,quart_4,level_5,freq_se,15.7670485865985
2000,AUT,reading_score,quart_4,level_6,freq,12.0941165829074
2000,AUT,reading_score,quart_4,level_6,freq_se,12.5267508506887
2000,BEL,math_score,quart_1,below_level_1a,freq,13.8006482088544
2000,BEL,math_score,quart_1,below_level_1a,freq_se,4.2271288809817
2000,BEL,math_score,quart_1,level_1a,freq,8.91907897515584
2000,BEL,math_score,quart_1,level_1a,freq_se,0.936238810258955
