year,area,concept,hisced,level,metric,value
2000,BEL,math_score,high,level_3,freq_se,0.218594920872293
2000,BEL,math_score,high,level_4,freq,14.9385637812943
2000,BEL,math_score,high,level_4,freq_se,0.38584401380277
2000,BEL,math_score,high,level_5,freq,11.4943343828078
2000,BEL,math_score,high,level_5,freq_se,0.266304371027976
2000,BEL,math_score,high,level_6,freq,3.58892978342888
2000,BEL,math_score,high,level_6,freq_se,0.104901762452957
2000,BEL,math_score,low,below_level_1a,freq,18.6880214157979
2000,BEL,math_score,low,below_level_1a,freq_se,13.1954263519904
2000,BEL,math_score,low,level_1a,freq,11.8266651736594
2000,BEL,math_score,low,level_1a,freq_se,4.88767914971487
2000,BEL,math_score,low,level_2,freq,13.6726745976353
2000,BEL,math_score,low,level_2,freq_se,6.38773934074748
2000,BEL,math_score,low,level_3,freq,8.045628137747
2000,BEL,math_score,low,level_3,freq_se,3.28761300192638
2000,BEL,math_score,low,level_4,freq,4.70349729052388
2000,BEL,math_score,low,level_4,freq_se,1.80666689007168
2000,BEL,math_score,low,level_5,freq,0.867608842841844
2000,BEL,math_score,low,level_5,freq_se,0.298637073480861
2000,BEL,math_score,low,level_6,freq,0
2000,BEL,math_score,low,level_6,freq_se,
2000,BEL,math_score,medium,below_level_1a,freq,8.59435583076518
2000,BEL,math_score,medium,below_level_1a,freq_se,1.72398964482274
2000,BEL,math_score,medium,level_1a,freq,7.1255937264372
2000,BEL,math_score,medium,level_1a,freq_se,0.960997649826156
2000,BEL,math_score,medium,level_2,freq,12.9249556535864
2000,BEL,math_score,medium,level_2,freq_se,3.22715256934197
2000,BEL,math_score,medium,level_3,freq,13.617582512288
2000,BEL,math_score,medium,level_3,freq_se,1.33955171986652
2000,BEL,math_score,medium,level_4,freq,11.1210483684031
2000,BEL,math_score,medium,level_4,freq_se,1.18470701308886
2000,BEL,math_score,medium,level_5,freq,4.46776512361067
2000,BEL,math_score,medium,level_5,freq_se,0.743149735076506
2000,BEL,math_score,medium,level_6,freq,1.54685433355336
2000,BEL,math_score,medium,level_6,freq_se,0.16916881223359
2000,BEL,reading_score,high,below_level_1a,freq,4.50769789974903
2000,BEL,reading_score,high,below_level_1a,freq_se,0.743503304641244
2000,BEL,reading_score,high,level_1a,freq,7.46555719444282
2000,BEL,reading_score,high,level_1a,freq_se,0.648172382685535
2000,BEL,reading_score,high,level_2,freq,14.400419560758
