year,area,concept,books,metric,value
2000,DEU,math_score,201_500,mean_se,22.2665999225178
2000,DEU,math_score,26_100,mean,473.230009993089
2000,DEU,math_score,26_100,mean_se,20.8917562222873
2000,DEU,math_score,more_500,mean,548.326414610242
2000,DEU,math_score,more_500,mean_se,29.8782660335368
2000,DEU,reading_score,0_10,mean,361.224788784813
2000,DEU,reading_score,0_10,mean_se,11.2053810571523
2000,DEU,reading_score,101_200,mean,511.691417864261
2000,DEU,reading_score,101_200,mean_se,3.64801177717016
2000,DEU,reading_score,11_25,mean,443.368603047884
2000,DEU,reading_score,11_25,mean_se,4.77896019118296
2000,DEU,reading_score,201_500,mean,539.151020554859
2000,DEU,reading_score,201_500,mean_se,3.84779871473162
2000,DEU,reading_score,26_100,mean,472.983268302769
2000,DEU,reading_score,26_100,mean_se,3.7991338287098
2000,DEU,reading_score,more_500,mean,549.461837546437
2000,DEU,reading_score,more_500,mean_se,4.5032512614998
2000,DNK,math_score,0_10,mean,457.6769034048
2000,DNK,math_score,0_10,mean_se,51.1551074359082
2000,DNK,math_score,101_200,mean,527.340653392016
2000,DNK,math_score,101_200,mean_se,12.4370388109974
2000,DNK,math_score,11_25,mean,492.325581387014
2000,DNK,math_score,11_25,mean_se,19.7938116504364
2000,DNK,math_score,201_500,mean,551.485881226344
2000,DNK,math_score,201_500,mean_se,19.4836280337221
2000,DNK,math_score,26_100,mean,505.634171530699
2000,DNK,math_score,26_100,mean_se,16.4589760165513
2000,DNK,math_score,more_500,mean,545.74017013762
2000,DNK,math_score,more_500,mean_se,22.8557047083317
2000,DNK,reading_score,0_10,mean,430.793073287256
2000,DNK,reading_score,0_10,mean_se,7.07448474196725
2000,DNK,reading_score,101_200,mean,512.135896869151
2000,DNK,reading_score,101_200,mean_se,3.30327725765045
2000,DNK,reading_score,11_25,mean,464.618904924327
2000,DNK,reading_score,11_25,mean_se,4.09502477193694
2000,DNK,reading_score,201_500,mean,538.982292433391
2000,DNK,reading_score,201_500,mean_se,3.79837055634826
2000,DNK,reading_score,26_100,mean,490.222685179901
2000,DNK,reading_score,26_100,mean_se,4.09222865256848
2000,DNK,reading_score,more_500,mean,536.296054788516
2000,DNK,reading_score,more_500,mean_se,4.70544375390861
2000,ESP,math_score,0_10,mean,400.881453392116
2000,ESP,math_score,0_10,mean_se,57.8323665935781
2000,ESP,math_score,101_200,mean,496.933669105013
2000,ESP,math_score,101_200,mean_se,14.5094977229148
2000,ESP,math_score,11_25,mean,429.68935887038
2000,ESP,math_score,11_25,mean_se,22.3427999024536
2000,ESP,math_score,201_500,mean,516.012664057615
2000,ESP,math_score,201_500,mean_se,16.2509271206328
2000,ESP,math_score,26_100,mean,466.428372339438
2000,ESP,math_score,26_100,mean_se,17.3580611239616
2000,ESP,math_score,more_500,mean,527.223636782966
2000,ESP,math_score,more_500,mean_se,22.9979784375666
2000,ESP,reading_score,0_10,mean,415.01972536894
2000,ESP,reading_score,0_10,mean_se,6.23610212218273
2000,ESP,reading_score,101_200,mean,509.57753233101
2000,ESP,reading_score,101_200,mean_se,2.61625531178147
2000,ESP,reading_score,11_25,mean,455.634618464208
2000,ESP,reading_score,11_25,mean_se,3.41996873817827
2000,ESP,reading_score,201_500,mean,525.831223181985
2000,ESP,reading_score,201_500,mean_se,3.05995302981835
2000,ESP,reading_score,26_100,mean,486.82944794295
2000,ESP,reading_score,26_100,mean_se,3.57386822366308
2000,ESP,reading_score,more_500,mean,533.528640933415
2000,ESP,reading_score,more_500,mean_se,4.28795982291507
2000,FIN,math_score,0_10,mean,506.239863956297
2000,FIN,math_score,0_10,mean_se,52.1979238080832
2000,FIN,math_score,101_200,mean,548.600755591097
2000,FIN,math_score,101_200,mean_se,10.785450554948
2000,FIN,math_score,11_25,mean,527.01802203203
2000,FIN,math_score,11_25,mean_se,10.0984840932304
2000,FIN,math_score,201_500,mean,559.860842111609
2000,FIN,math_score,201_500,mean_se,21.6120994097567
2000,FIN,math_score,26_100,mean,524.377693770567
2000,FIN,math_score,26_100,mean_se,9.1771016295131
2000,FIN,math_score,more_500,mean,562.102295234902
2000,FIN,math_score,more_500,mean_se,48.422877157364
2000,FIN,reading_score,0_10,mean,498.542437559562
2000,FIN,reading_score,0_10,mean_se,6.238353619813
2000,FIN,reading_score,101_200,mean,565.099176880131
2000,FIN,reading_score,101_200,mean_se,3.70883849445137
2000,FIN,reading_score,11_25,mean,528.346319284293
2000,FIN,reading_score,11_25,mean_se,3.3060620842901
2000,FIN,reading_score,201_500,mean,576.266083678947
2000,FIN,reading_score,201_500,mean_se,3.9469919618943
2000,FIN,reading_score,26_100,mean,536.699920154957
2000,FIN,reading_score,26_100,mean_se,2.94450730174725
2000,FIN,reading_score,more_500,mean,581.079295594335
2000,FIN,reading_score,more_500,mean_se,6.79798498434975
2000,FRA,math_score,0_10,mean,459.870582183455
2000,FRA,math_score,0_10,mean_se,24.1355450730198
2000,FRA,math_score,101_200,mean,539.56554052049
2000,FRA,math_score,101_200,mean_se,12.6770870360862
2000,FRA,math_score,11_25,mean,500.771617186194
2000,FRA,math_score,11_25,mean_se,12.2614177577061
2000,FRA,math_score,201_500,mean,561.127548742235
2000,FRA,math_score,201_500,mean_se,18.7200178879283
2000,FRA,math_score,26_100,mean,523.082012837268
2000,FRA,math_score,26_100,mean_se,13.7268641088464
2000,FRA,math_score,more_500,mean,545.688370706618
2000,FRA,math_score,more_500,mean_se,62.4733328656238
2000,FRA,reading_score,0_10,mean,430.136769716745
2000,FRA,reading_score,0_10,mean_se,5.17182693607085
2000,FRA,reading_score,101_200,mean,531.121734380843
2000,FRA,reading_score,101_200,mean_se,3.24767806934393
2000,FRA,reading_score,11_25,mean,487.958944866922
2000,FRA,reading_score,11_25,mean_se,3.40941137669349
2000,FRA,reading_score,201_500,mean,556.402976255984
2000,FRA,reading_score,201_500,mean_se,3.64485962683137
2000,FRA,reading_score,26_100,mean,509.06182488431
2000,FRA,reading_score,26_100,mean_se,3.22329831043033
2000,FRA,reading_score,more_500,mean,547.665588388259
2000,FRA,reading_score,more_500,mean_se,5.32253039298124
2000,GBR,math_score,0_10,mean,456.15064479099
2000,GBR,math_score,0_10,mean_se,42.0213874603126
2000,GBR,math_score,101_200,mean,546.552590993325
