"year","area","concept","metric","value"
"2000","FIN","math_score","perc_10",431
"2000","FIN","math_score","perc_10_se",5.51781161331192
"2000","FIN","math_score","perc_50",538.79
"2000","FIN","math_score","perc_50_se",2.4393759447859
"2000","FIN","math_score","perc_90",637.84
"2000","FIN","math_score","perc_90_se",2.92251432845076
"2000","FIN","reading_score","mean",546.992210523876
"2000","FIN","reading_score","mean_se",2.46683747464589
"2000","FIN","reading_score","perc_10",427.62
"2000","FIN","reading_score","perc_10_se",4.42242637021805
"2000","FIN","reading_score","perc_50",553.06
"2000","FIN","reading_score","perc_50_se",2.4240286714476
"2000","FIN","reading_score","perc_90",654.86
"2000","FIN","reading_score","perc_90_se",2.43902542012174
"2000","FRA","math_score","mean",518.430218797155
"2000","FRA","math_score","mean_se",2.4543130234564
"2000","FRA","math_score","perc_10",399.99
"2000","FRA","math_score","perc_10_se",5.36774626822095
"2000","FRA","math_score","perc_50",523.55
"2000","FRA","math_score","perc_50_se",2.9520204945088
"2000","FRA","math_score","perc_90",630.63
"2000","FRA","math_score","perc_90_se",2.74240132001134
"2000","FRA","reading_score","mean",504.383780118701
"2000","FRA","reading_score","mean_se",2.64829296628625
"2000","FRA","reading_score","perc_10",380.55
"2000","FRA","reading_score","perc_10_se",5.03864664369312
"2000","FRA","reading_score","perc_50",511.13
"2000","FRA","reading_score","perc_50_se",2.84053340061334
"2000","FRA","reading_score","perc_90",617.48
"2000","FRA","reading_score","perc_90_se",2.17240189651917
"2000","GBR","math_score","mean",529.7034137828
"2000","GBR","math_score","mean_se",2.56229354061787
"2000","GBR","math_score","perc_10",413.62
"2000","GBR","math_score","perc_10_se",3.25351425384921
"2000","GBR","math_score","perc_50",534.21
"2000","GBR","math_score","perc_50_se",2.7677012121976
"2000","GBR","math_score","perc_90",646.4
"2000","GBR","math_score","perc_90_se",4.01912925893157
"2000","GBR","reading_score","mean",523.540985067323
"2000","GBR","reading_score","mean_se",2.51860542052838
"2000","GBR","reading_score","perc_10",391.51
"2000","GBR","reading_score","perc_10_se",3.41122925057816
"2000","GBR","reading_score","perc_50",527.49
"2000","GBR","reading_score","perc_50_se",2.87524694591612
