"year","area","concept","level","metric","value"
"2000","CZE","books","11_25","freq",12.0243621151049
"2000","CZE","books","11_25","freq_se",0.441880363072844
"2000","CZE","books","201_500","freq",21.0730034345932
"2000","CZE","books","201_500","freq_se",0.694834511252353
"2000","CZE","books","26_100","freq",21.2004942081688
"2000","CZE","books","26_100","freq_se",0.563801144338829
"2000","CZE","books","more_500","freq",14.2777739475404
"2000","CZE","books","more_500","freq_se",0.591895629514394
"2000","CZE","artworks","no","freq",40.7405921783065
"2000","CZE","artworks","no","freq_se",0.900809325093227
"2000","CZE","artworks","yes","freq",59.2594078216935
"2000","CZE","artworks","yes","freq_se",0.900809325093229
"2000","CZE","classics","no","freq",23.117959965752
"2000","CZE","classics","no","freq_se",0.823617169578138
"2000","CZE","classics","yes","freq",76.882040034248
"2000","CZE","classics","yes","freq_se",0.823617169578136
"2000","CZE","lonely","agree","freq",6.73909592372797
"2000","CZE","lonely","agree","freq_se",0.501033090206061
"2000","CZE","lonely","disagree","freq",50.9423369336836
"2000","CZE","lonely","disagree","freq_se",0.878830475525269
"2000","CZE","lonely","strongly_agree","freq",1.97160324230882
"2000","CZE","lonely","strongly_agree","freq_se",0.239307893261995
"2000","CZE","lonely","strongly_disagree","freq",40.3469639002796
"2000","CZE","lonely","strongly_disagree","freq_se",0.821335490435341
"2000","CZE","computer","daily","freq",19.6811940759792
"2000","CZE","computer","daily","freq_se",1.24829723095859
"2000","CZE","computer","monthly","freq",6.63240308407194
"2000","CZE","computer","monthly","freq_se",0.509188826747799
"2000","CZE","computer","never","freq",33.0066921623146
"2000","CZE","computer","never","freq_se",1.93527743631213
"2000","CZE","computer","weekly","freq",28.0076385075626
"2000","CZE","computer","weekly","freq_se",1.36664890219791
"2000","CZE","computer","yearly","freq",12.6720721700716
"2000","CZE","computer","yearly","freq_se",0.790743691177082
"2000","DEU","books","0_10","freq",8.40618301060842
"2000","DEU","books","0_10","freq_se",0.572217588488653
"2000","DEU","books","101_200","freq",21.2769332404644
"2000","DEU","books","101_200","freq_se",0.732985944813408
"2000","DEU","books","11_25","freq",20.0729606349298
"2000","DEU","books","11_25","freq_se",0.790990495313365
"2000","DEU","books","201_500","freq",15.4066861721431
"2000","DEU","books","201_500","freq_se",0.531130091508076
"2000","DEU","books","26_100","freq",22.560559661032
"2000","DEU","books","26_100","freq_se",0.67969529588894
"2000","DEU","books","more_500","freq",12.2766772808222
"2000","DEU","books","more_500","freq_se",0.659169202489741
"2000","DEU","artworks","no","freq",35.8664376967566
"2000","DEU","artworks","no","freq_se",0.951899612554478
"2000","DEU","artworks","yes","freq",64.1335623032434
"2000","DEU","artworks","yes","freq_se",0.951899612554476
"2000","DEU","classics","no","freq",56.0202406686082
"2000","DEU","classics","no","freq_se",0.912125778030536
"2000","DEU","classics","yes","freq",43.9797593313918
"2000","DEU","classics","yes","freq_se",0.912125778030538
"2000","DEU","lonely","agree","freq",6.26237552883277
"2000","DEU","lonely","agree","freq_se",0.384584528570917
"2000","DEU","lonely","disagree","freq",26.2398812849561
"2000","DEU","lonely","disagree","freq_se",0.791075021690678
"2000","DEU","lonely","strongly_agree","freq",2.03277980072628
"2000","DEU","lonely","strongly_agree","freq_se",0.258276520166599
"2000","DEU","lonely","strongly_disagree","freq",65.4649633854849
"2000","DEU","lonely","strongly_disagree","freq_se",0.743844791784718
"2000","DEU","computer","daily","freq",12.4812730053967
"2000","DEU","computer","daily","freq_se",0.69312713536782
"2000","DEU","computer","monthly","freq",9.07982730834257
"2000","DEU","computer","monthly","freq_se",0.637499937380483
"2000","DEU","computer","never","freq",38.5207920304702
"2000","DEU","computer","never","freq_se",1.42865223410404
"2000","DEU","computer","weekly","freq",20.0676441528417
"2000","DEU","computer","weekly","freq_se",0.929686192594542
"2000","DEU","computer","yearly","freq",19.8504635029488
"2000","DEU","computer","yearly","freq_se",0.865722070573804
"2000","DNK","books","0_10","freq",11.1859381854131
"2000","DNK","books","0_10","freq_se",0.595562957890208
"2000","DNK","books","101_200","freq",22.5390246549747
"2000","DNK","books","101_200","freq_se",0.604557052525276
"2000","DNK","books","11_25","freq",14.6596646047778
"2000","DNK","books","11_25","freq_se",0.602325347103547
"2000","DNK","books","201_500","freq",17.2678315361127
"2000","DNK","books","201_500","freq_se",0.808941959259362
"2000","DNK","books","26_100","freq",21.0750924241807
"2000","DNK","books","26_100","freq_se",0.6063099409063
"2000","DNK","books","more_500","freq",13.272448594541
"2000","DNK","books","more_500","freq_se",0.670101239465881
"2000","DNK","artworks","no","freq",25.932884738901
"2000","DNK","artworks","no","freq_se",0.808175405667038
"2000","DNK","artworks","yes","freq",74.067115261099
"2000","DNK","artworks","yes","freq_se",0.808175405667036
"2000","DNK","classics","no","freq",53.5641255370123
"2000","DNK","classics","no","freq_se",1.17986077278959
"2000","DNK","classics","yes","freq",46.4358744629877
"2000","DNK","classics","yes","freq_se",1.17986077278959
"2000","DNK","lonely","agree","freq",7.97515629610281
"2000","DNK","lonely","agree","freq_se",0.475904123075228
"2000","DNK","lonely","disagree","freq",37.8528245622088
"2000","DNK","lonely","disagree","freq_se",0.817680668884164
"2000","DNK","lonely","strongly_agree","freq",2.35207171131246
"2000","DNK","lonely","strongly_agree","freq_se",0.272833452140735
"2000","DNK","lonely","strongly_disagree","freq",51.8199474303759
"2000","DNK","lonely","strongly_disagree","freq_se",0.963131593816029
"2000","DNK","computer","daily","freq",43.7452697273817
"2000","DNK","computer","daily","freq_se",1.51727743847255
"2000","DNK","computer","monthly","freq",11.0628753560648
"2000","DNK","computer","monthly","freq_se",0.750607943250369
"2000","DNK","computer","never","freq",1.70233060597542
"2000","DNK","computer","never","freq_se",0.23565175419607
"2000","DNK","computer","weekly","freq",36.7697949223397
"2000","DNK","computer","weekly","freq_se",1.10717750945752
"2000","DNK","computer","yearly","freq",6.71972938823839
"2000","DNK","computer","yearly","freq_se",0.751404824703094
"2000","ESP","books","0_10","freq",6.12038461462511
"2000","ESP","books","0_10","freq_se",0.557455849164205
"2000","ESP","books","101_200","freq",21.7625559925005
"2000","ESP","books","101_200","freq_se",0.704269903590989
"2000","ESP","books","11_25","freq",18.8587533222062
"2000","ESP","books","11_25","freq_se",0.915033228760892
"2000","ESP","books","201_500","freq",16.9191934916317
