"year","area","concept","level","metric","value"
"2000","POL","hisced","medium","freq",26.476720219816
"2000","POL","hisced","medium","freq_se",1.19160962816548
"2000","PRT","hisced","high","freq",36.3715642122032
"2000","PRT","hisced","high","freq_se",1.58119678260972
"2000","PRT","hisced","low","freq",29.9442024328855
"2000","PRT","hisced","low","freq_se",1.19712726222113
"2000","PRT","hisced","medium","freq",33.6842333549114
"2000","PRT","hisced","medium","freq_se",1.04166403147382
"2000","SWE","hisced","high","freq",83.9933862455621
"2000","SWE","hisced","high","freq_se",0.579836640442415
"2000","SWE","hisced","low","freq",1.55283883164654
"2000","SWE","hisced","low","freq_se",0.193960238062173
"2000","SWE","hisced","medium","freq",14.4537749227914
"2000","SWE","hisced","medium","freq_se",0.548786650467706
"2000","EU28","hisced","high","freq",61.1517106543757
"2000","EU28","hisced","high","freq_se",0.367942152159272
"2000","EU28","hisced","low","freq",6.19056323645153
"2000","EU28","hisced","low","freq_se",0.200060843304644
"2000","EU28","hisced","medium","freq",32.6577261091728
"2000","EU28","hisced","medium","freq_se",0.325154518783507
"2003","AUT","hisced","high","freq",43.186707097304
"2003","AUT","hisced","high","freq_se",1.05143264292131
"2003","AUT","hisced","low","freq",6.64716695960328
"2003","AUT","hisced","low","freq_se",0.578427524274008
"2003","AUT","hisced","medium","freq",50.1661259430927
"2003","AUT","hisced","medium","freq_se",1.06884740043548
"2003","BEL","hisced","high","freq",57.2042616643739
"2003","BEL","hisced","high","freq_se",0.837013315423765
"2003","BEL","hisced","low","freq",8.5020856409029
"2003","BEL","hisced","low","freq_se",0.417408130086073
"2003","BEL","hisced","medium","freq",34.2936526947232
"2003","BEL","hisced","medium","freq_se",0.741140733996285
"2003","CZE","hisced","high","freq",26.63909441557
"2003","CZE","hisced","high","freq_se",0.939446414704556
"2003","CZE","hisced","low","freq",1.93649146128124
"2003","CZE","hisced","low","freq_se",0.211727798086121
"2003","CZE","hisced","medium","freq",71.4244141231488
"2003","CZE","hisced","medium","freq_se",0.931490961014798
"2003","DEU","hisced","high","freq",41.077022841987
"2003","DEU","hisced","high","freq_se",0.961522815424248
"2003","DEU","hisced","low","freq",15.85485327158
"2003","DEU","hisced","low","freq_se",0.900277777707108
"2003","DEU","hisced","medium","freq",43.068123886433
"2003","DEU","hisced","medium","freq_se",0.939651426357798
"2003","DNK","hisced","high","freq",58.524831685694
"2003","DNK","hisced","high","freq_se",1.25979307124335
"2003","DNK","hisced","low","freq",10.6603751080694
"2003","DNK","hisced","low","freq_se",0.806876956369811
"2003","DNK","hisced","medium","freq",30.8147932062366
"2003","DNK","hisced","medium","freq_se",0.876595866755936
"2003","ESP","hisced","high","freq",38.0175331672969
"2003","ESP","hisced","high","freq_se",1.50332986967064
"2003","ESP","hisced","low","freq",33.0882206475043
"2003","ESP","hisced","low","freq_se",1.35159929185071
"2003","ESP","hisced","medium","freq",28.8942461851987
"2003","ESP","hisced","medium","freq_se",0.744722600980946
"2003","FIN","hisced","high","freq",66.691403405009
"2003","FIN","hisced","high","freq_se",0.767429454428352
"2003","FIN","hisced","low","freq",10.0102272297596
"2003","FIN","hisced","low","freq_se",0.475975459303862
"2003","FIN","hisced","medium","freq",23.2983693652314
"2003","FIN","hisced","medium","freq_se",0.575563830278173
"2003","FRA","hisced","high","freq",37.3938154092691
"2003","FRA","hisced","high","freq_se",1.05128895466787
"2003","FRA","hisced","low","freq",17.6968784003121
"2003","FRA","hisced","low","freq_se",0.841739109506129
"2003","FRA","hisced","medium","freq",44.9093061904188
"2003","FRA","hisced","medium","freq_se",0.937232624994877
"2003","GBR","hisced","high","freq",41.8875539340777
"2003","GBR","hisced","high","freq_se",0.891947853942241
"2003","GBR","hisced","low","freq",8.77653293640653
"2003","GBR","hisced","low","freq_se",0.5292013822849
"2003","GBR","hisced","medium","freq",49.3359131295157
"2003","GBR","hisced","medium","freq_se",0.912412308308807
"2003","GRC","hisced","high","freq",41.5500497337152
"2003","GRC","hisced","high","freq_se",1.75946784292719
"2003","GRC","hisced","low","freq",20.4788480551895
"2003","GRC","hisced","low","freq_se",1.25478823410834
"2003","GRC","hisced","medium","freq",37.9711022110953
"2003","GRC","hisced","medium","freq_se",1.01141756813263
"2003","HUN","hisced","high","freq",32.712492013388
"2003","HUN","hisced","high","freq_se",1.02633038523875
"2003","HUN","hisced","low","freq",6.95198735705979
"2003","HUN","hisced","low","freq_se",0.534231604096296
"2003","HUN","hisced","medium","freq",60.3355206295522
"2003","HUN","hisced","medium","freq_se",0.99085572483261
"2003","IRL","hisced","high","freq",39.868706354318
"2003","IRL","hisced","high","freq_se",1.18464293514079
"2003","IRL","hisced","low","freq",15.6953220342712
"2003","IRL","hisced","low","freq_se",0.872529354008229
"2003","IRL","hisced","medium","freq",44.4359716114108
"2003","IRL","hisced","medium","freq_se",1.03842122504515
"2003","ITA","hisced","high","freq",34.3537632573617
"2003","ITA","hisced","high","freq_se",0.924074551885945
"2003","ITA","hisced","low","freq",29.8546087217229
"2003","ITA","hisced","low","freq_se",0.739179375526294
"2003","ITA","hisced","medium","freq",35.7916280209154
"2003","ITA","hisced","medium","freq_se",0.734636146149343
"2003","LUX","hisced","high","freq",50.3623425538101
"2003","LUX","hisced","high","freq_se",0.725470142031986
"2003","LUX","hisced","low","freq",18.6821110877033
"2003","LUX","hisced","low","freq_se",0.636618696381364
"2003","LUX","hisced","medium","freq",30.9555463584866
"2003","LUX","hisced","medium","freq_se",0.759825622683842
"2003","LVA","hisced","high","freq",59.6828801301142
"2003","LVA","hisced","high","freq_se",1.89758883192372
"2003","LVA","hisced","low","freq",1.59697075352143
"2003","LVA","hisced","low","freq_se",0.269560309390048
"2003","LVA","hisced","medium","freq",38.7201491163643
"2003","LVA","hisced","medium","freq_se",1.81610016364911
"2003","NLD","hisced","high","freq",47.5847490243432
"2003","NLD","hisced","high","freq_se",1.16442136961795
"2003","NLD","hisced","low","freq",16.7144408861025
"2003","NLD","hisced","low","freq_se",0.926886460329087
"2003","NLD","hisced","medium","freq",35.7008100895543
"2003","NLD","hisced","medium","freq_se",1.15329798468736
"2003","POL","hisced","high","freq",22.3366131431039
"2003","POL","hisced","high","freq_se",0.831400619702244
"2003","POL","hisced","low","freq",2.70077466981037
"2003","POL","hisced","low","freq_se",0.309982263173602
"2003","POL","hisced","medium","freq",74.9626121870857
"2003","POL","hisced","medium","freq_se",0.829867672121538
"2003","PRT","hisced","high","freq",25.8593898784544
"2003","PRT","hisced","high","freq_se",1.15096028585058
"2003","PRT","hisced","low","freq",55.401829633106
"2003","PRT","hisced","low","freq_se",1.20964904153516
"2003","PRT","hisced","medium","freq",18.7387804884396
"2003","PRT","hisced","medium","freq_se",0.72482720515057
"2003","SVK","hisced","high","freq",26.3264742290604
"2003","SVK","hisced","high","freq_se",0.952948552019206
"2003","SVK","hisced","low","freq",3.38471606742651
"2003","SVK","hisced","low","freq_se",0.623122896287221
"2003","SVK","hisced","medium","freq",70.2888097035131
"2003","SVK","hisced","medium","freq_se",0.946001110379398
"2003","SWE","hisced","high","freq",60.637858449631
"2003","SWE","hisced","high","freq_se",0.944395176474001
"2003","SWE","hisced","low","freq",10.5802105047009
"2003","SWE","hisced","low","freq_se",0.57992163779767
"2003","SWE","hisced","medium","freq",28.7819310456681
"2003","SWE","hisced","medium","freq_se",0.744568632568328
"2003","EU28","hisced","high","freq",38.150126714921
"2003","EU28","hisced","high","freq_se",0.296286084321692
"2003","EU28","hisced","low","freq",15.8346905310596
"2003","EU28","hisced","low","freq_se",0.233162001255214
"2003","EU28","hisced","medium","freq",46.0151827540194
"2003","EU28","hisced","medium","freq_se",0.274983646657474
"2006","AUT","hisced","high","freq",50.8953903884964
"2006","AUT","hisced","high","freq_se",1.07709380089017
"2006","AUT","hisced","low","freq",4.47512890631721
"2006","AUT","hisced","low","freq_se",0.609877918971798
"2006","AUT","hisced","medium","freq",44.6294807051864
"2006","AUT","hisced","medium","freq_se",1.04614484270921
"2006","BEL","hisced","high","freq",57.7348731243269
"2006","BEL","hisced","high","freq_se",0.887159336701237
"2006","BEL","hisced","low","freq",7.05957697670881
"2006","BEL","hisced","low","freq_se",0.482631110216546
"2006","BEL","hisced","medium","freq",35.2055498989643
"2006","BEL","hisced","medium","freq_se",0.750272740466585
"2006","BGR","hisced","high","freq",35.9598854676729
"2006","BGR","hisced","high","freq_se",1.7618932516744
"2006","BGR","hisced","low","freq",7.10928829109985
"2006","BGR","hisced","low","freq_se",0.774152926795152
"2006","BGR","hisced","medium","freq",56.9308262412273
"2006","BGR","hisced","medium","freq_se",1.6993217297224
"2006","CZE","hisced","high","freq",33.1287592138418
"2006","CZE","hisced","high","freq_se",0.866699043371582
"2006","CZE","hisced","low","freq",2.09348937027068
"2006","CZE","hisced","low","freq_se",0.345187340640305
"2006","CZE","hisced","medium","freq",64.7777514158876
"2006","CZE","hisced","medium","freq_se",0.890117979989826
"2006","DEU","hisced","high","freq",45.7726689925433
"2006","DEU","hisced","high","freq_se",1.05581560183862
"2006","DEU","hisced","low","freq",15.1378442179254
"2006","DEU","hisced","low","freq_se",0.919617249104474
"2006","DEU","hisced","medium","freq",39.0894867895313
"2006","DEU","hisced","medium","freq_se",0.820649508075044
"2006","DNK","hisced","high","freq",63.3379735556278
"2006","DNK","hisced","high","freq_se",1.07414042795675
"2006","DNK","hisced","low","freq",6.92124769004314
"2006","DNK","hisced","low","freq_se",0.534179639076421
"2006","DNK","hisced","medium","freq",29.7407787543291
"2006","DNK","hisced","medium","freq_se",0.85220709147902
"2006","ESP","hisced","high","freq",34.8112505522184
"2006","ESP","hisced","high","freq_se",1.1029872806333
"2006","ESP","hisced","low","freq",36.3345795248327
"2006","ESP","hisced","low","freq_se",1.12025611720071
"2006","ESP","hisced","medium","freq",28.8541699229489
"2006","ESP","hisced","medium","freq_se",0.612939012030038
"2006","EST","hisced","high","freq",50.8720875125399
"2006","EST","hisced","high","freq_se",0.978997122162637
"2006","EST","hisced","low","freq",1.82858445093132
"2006","EST","hisced","low","freq_se",0.331914884277669
"2006","EST","hisced","medium","freq",47.2993280365287
"2006","EST","hisced","medium","freq_se",0.980436168186822
"2006","FIN","hisced","high","freq",76.558321814706
"2006","FIN","hisced","high","freq_se",0.756895211510029
"2006","FIN","hisced","low","freq",6.41313212913553
"2006","FIN","hisced","low","freq_se",0.394097401698466
"2006","FIN","hisced","medium","freq",17.0285460561584
"2006","FIN","hisced","medium","freq_se",0.628524138502783
"2006","FRA","hisced","high","freq",39.0978930103708
"2006","FRA","hisced","high","freq_se",1.23123987270664
"2006","FRA","hisced","low","freq",15.8336153911497
"2006","FRA","hisced","low","freq_se",0.824297954200627
"2006","FRA","hisced","medium","freq",45.0684915984795
"2006","FRA","hisced","medium","freq_se",0.99593988724819
"2006","GBR","hisced","high","freq",51.4048586838555
"2006","GBR","hisced","high","freq_se",0.764982341926362
"2006","GBR","hisced","low","freq",5.2791769871473
"2006","GBR","hisced","low","freq_se",0.316725086257978
"2006","GBR","hisced","medium","freq",43.3159643289972
"2006","GBR","hisced","medium","freq_se",0.770340189524349
"2006","GRC","hisced","high","freq",44.2748916056271
"2006","GRC","hisced","high","freq_se",1.29418063487254
"2006","GRC","hisced","low","freq",17.770193756459
"2006","GRC","hisced","low","freq_se",1.01216443873802
"2006","GRC","hisced","medium","freq",37.954914637914
"2006","GRC","hisced","medium","freq_se",0.90336051883893
"2006","HRV","hisced","high","freq",43.9418655798811
"2006","HRV","hisced","high","freq_se",0.769740680109003
"2006","HRV","hisced","low","freq",5.90113157927687
"2006","HRV","hisced","low","freq_se",0.417154174574002
"2006","HRV","hisced","medium","freq",50.1570028408421
"2006","HRV","hisced","medium","freq_se",0.703958850405823
"2006","HUN","hisced","high","freq",34.7421390366802
"2006","HUN","hisced","high","freq_se",1.19804598987711
"2006","HUN","hisced","low","freq",6.61878973182689
"2006","HUN","hisced","low","freq_se",0.583948453723904
"2006","HUN","hisced","medium","freq",58.6390712314929
"2006","HUN","hisced","medium","freq_se",1.08535021685876
"2006","IRL","hisced","high","freq",45.9877238659358
"2006","IRL","hisced","high","freq_se",1.18587824808409
"2006","IRL","hisced","low","freq",11.3591117903165
"2006","IRL","hisced","low","freq_se",0.627935094507921
"2006","IRL","hisced","medium","freq",42.6531643437477
"2006","IRL","hisced","medium","freq_se",1.04295065619725
"2006","ITA","hisced","high","freq",26.14275093335
"2006","ITA","hisced","high","freq_se",0.676038733460669
"2006","ITA","hisced","low","freq",28.2078567599486
"2006","ITA","hisced","low","freq_se",0.739023273690819
"2006","ITA","hisced","medium","freq",45.6493923067014
"2006","ITA","hisced","medium","freq_se",0.712696649338659
"2006","LTU","hisced","high","freq",57.5788037573949
"2006","LTU","hisced","high","freq_se",1.19657336283261
"2006","LTU","hisced","low","freq",0.548428486680269
