year,area,concept,computer,metric,value
2000,DNK,math_score,never,mean_se,214.58265799043
2000,DNK,math_score,weekly,mean,518.647575374715
2000,DNK,math_score,weekly,mean_se,9.46683668936002
2000,DNK,math_score,yearly,mean,502.987922962946
2000,DNK,math_score,yearly,mean_se,85.0468855634484
2000,DNK,reading_score,daily,mean,498.859246414916
2000,DNK,reading_score,daily,mean_se,2.71083339336298
2000,DNK,reading_score,monthly,mean,502.268130605462
2000,DNK,reading_score,monthly,mean_se,5.87205628069511
2000,DNK,reading_score,never,mean,421.416735081123
2000,DNK,reading_score,never,mean_se,13.7614575561141
2000,DNK,reading_score,weekly,mean,503.827561184333
2000,DNK,reading_score,weekly,mean_se,3.10575351933134
2000,DNK,reading_score,yearly,mean,497.887564591802
2000,DNK,reading_score,yearly,mean_se,8.68913256758479
2000,ESP,math_score,daily,mean,493.229878796654
2000,ESP,math_score,daily,mean_se,23.5933523643449
2000,ESP,math_score,monthly,mean,482.623329797701
2000,ESP,math_score,monthly,mean_se,47.5482227273226
2000,ESP,math_score,never,mean,460.221701002449
2000,ESP,math_score,never,mean_se,22.4997650728321
2000,ESP,math_score,weekly,mean,493.07027407453
2000,ESP,math_score,weekly,mean_se,48.7426200231792
2000,ESP,math_score,yearly,mean,491.021154406654
2000,ESP,math_score,yearly,mean_se,39.2666131821753
2000,ESP,reading_score,daily,mean,510.969639870351
2000,ESP,reading_score,daily,mean_se,4.96939767678185
2000,ESP,reading_score,monthly,mean,485.310701870368
2000,ESP,reading_score,monthly,mean_se,6.36808132979014
2000,ESP,reading_score,never,mean,481.860060760653
2000,ESP,reading_score,never,mean_se,4.09668528271133
2000,ESP,reading_score,weekly,mean,504.989647225709
2000,ESP,reading_score,weekly,mean_se,4.87729797855915
2000,ESP,reading_score,yearly,mean,496.009971723226
2000,ESP,reading_score,yearly,mean_se,4.34151101848835
2000,FIN,math_score,daily,mean,535.762301796367
2000,FIN,math_score,daily,mean_se,10.8558786939083
2000,FIN,math_score,monthly,mean,536.008313211156
2000,FIN,math_score,monthly,mean_se,18.1642937889722
2000,FIN,math_score,never,mean,528.218364586159
2000,FIN,math_score,never,mean_se,41.6340049149263
2000,FIN,math_score,weekly,mean,536.57708050562
2000,FIN,math_score,weekly,mean_se,18.2846096169839
2000,FIN,math_score,yearly,mean,539.490261486444
2000,FIN,math_score,yearly,mean_se,17.4908128422422
2000,FIN,reading_score,daily,mean,540.7214251898
2000,FIN,reading_score,daily,mean_se,3.26054748584914
2000,FIN,reading_score,monthly,mean,545.014316975763
2000,FIN,reading_score,monthly,mean_se,3.96487275814494
2000,FIN,reading_score,never,mean,554.000274004262
2000,FIN,reading_score,never,mean_se,5.28568273830858
2000,FIN,reading_score,weekly,mean,545.820968056223
2000,FIN,reading_score,weekly,mean_se,4.29175224059825
2000,FIN,reading_score,yearly,mean,560.275090174087
2000,FIN,reading_score,yearly,mean_se,3.8248483222128
2000,FRA,math_score,daily,mean,513.345296348531
2000,FRA,math_score,daily,mean_se,64.9759499373395
2000,FRA,math_score,monthly,mean,518.768158734152
2000,FRA,math_score,monthly,mean_se,20.3854818705016
2000,FRA,math_score,never,mean,524.982805728471
2000,FRA,math_score,never,mean_se,14.2788912217478
2000,FRA,math_score,weekly,mean,526.460150850014
2000,FRA,math_score,weekly,mean_se,31.5705742701736
2000,FRA,math_score,yearly,mean,521.331036086823
2000,FRA,math_score,yearly,mean_se,21.3068866657231
2000,FRA,reading_score,daily,mean,496.703423517707
2000,FRA,reading_score,daily,mean_se,6.63965317027866
2000,FRA,reading_score,monthly,mean,504.168459571863
2000,FRA,reading_score,monthly,mean_se,4.69022734674183
2000,FRA,reading_score,never,mean,513.621289592522
2000,FRA,reading_score,never,mean_se,3.91602847949004
2000,FRA,reading_score,weekly,mean,514.179710145927
2000,FRA,reading_score,weekly,mean_se,4.40439486664184
2000,FRA,reading_score,yearly,mean,513.156997704021
2000,FRA,reading_score,yearly,mean_se,4.1037352013357
2000,GBR,math_score,daily,mean,524.817966356351
2000,GBR,math_score,daily,mean_se,13.2342962215294
2000,GBR,math_score,monthly,mean,534.028392037607
2000,GBR,math_score,monthly,mean_se,47.3709988974583
2000,GBR,math_score,never,mean,523.424122354412
